Sport,Year,Sex,Athletes,Bronze,Silver,Gold,No Win,Attempts,Wins
Gymnastics,2004,M,98,13,13,13,605,644,39
Gymnastics,2008,F,98,11,11,11,402,435,33
Gymnastics,2008,M,98,13,13,13,522,561,39
Gymnastics,2012,F,96,10,10,10,348,378,30
Gymnastics,2012,M,98,12,12,12,430,466,36
Gymnastics,2016,F,98,10,10,10,353,383,30
Gymnastics,2016,M,98,12,12,12,442,478,36
Handball,1936,M,105,17,22,22,44,105,61
Handball,1972,M,243,15,16,14,198,243,45
Handball,1976,F,82,14,14,14,40,82,42
Handball,1976,M,161,14,14,14,119,161,42
Handball,1980,F,82,14,14,13,41,82,41
Handball,1980,M,166,14,14,14,124,166,42
Handball,1984,F,82,13,13,15,41,82,41
Handball,1984,M,177,15,15,14,133,177,44
Handball,1988,F,111,15,14,12,70,111,41
Handball,1988,M,170,15,13,14,128,170,42
Handball,1992,F,113,13,14,13,73,113,40
Handball,1992,M,179,16,16,12,135,179,44
Handball,1996,F,118,16,16,15,71,118,47
Handball,1996,M,182,16,16,16,134,182,48
Handball,2000,F,146,15,15,15,101,146,45
Handball,2000,M,177,15,15,15,132,177,45
Handball,2004,F,149,15,15,15,104,149,45
Handball,2004,M,179,14,15,15,135,179,44
Handball,2008,F,171,14,14,14,129,171,42
Handball,2008,M,172,14,14,15,129,172,43
Handball,2012,F,171,15,14,14,128,171,43
Handball,2012,M,176,15,14,15,132,176,44
Handball,2016,F,176,14,16,15,131,176,45
Handball,2016,M,177,15,15,14,133,177,44
Hockey,1908,M,68,22,12,11,23,68,45
Hockey,1920,M,51,14,12,14,11,51,40
Hockey,1928,M,137,19,11,14,93,137,44
Hockey,1932,M,40,14,11,15,0,40,40
Hockey,1936,M,167,12,22,19,114,167,53
Hockey,1948,M,187,12,12,20,143,187,44
Hockey,1952,M,157,13,11,14,119,157,38
Hockey,1956,M,156,11,14,17,114,156,42
Hockey,1960,M,236,14,13,13,196,236,40
Hockey,1964,M,226,14,16,15,181,226,45
Hockey,1968,M,253,16,14,13,210,253,43
Hockey,1972,M,263,14,15,18,216,263,47
Hockey,1976,M,172,16,15,14,127,172,45
Hockey,1980,F,91,16,16,15,44,91,47
Hockey,1980,M,96,16,16,16,48,96,48
Hockey,1984,F,96,16,16,16,48,96,48
Hockey,1984,M,190,15,16,16,143,190,47
Hockey,1988,F,124,16,16,16,76,124,48
Hockey,1988,M,190,16,16,16,142,190,48
Hockey,1992,F,125,16,16,15,78,125,47
Hockey,1992,M,189,16,16,16,141,189,48
Hockey,1996,F,128,16,16,16,80,128,48
Hockey,1996,M,192,16,16,16,144,192,48
Hockey,2000,F,159,16,16,16,111,159,48
Hockey,2000,M,191,16,16,16,143,191,48
Hockey,2004,F,160,16,16,16,112,160,48
Hockey,2004,M,192,16,16,16,144,192,48
Hockey,2008,F,191,16,16,16,143,191,48
Hockey,2008,M,196,17,16,17,146,196,50
Hockey,2012,F,191,16,15,16,144,191,47
Hockey,2012,M,196,16,17,16,147,196,49
Hockey,2016,F,194,17,16,16,145,194,49
Hockey,2016,M,196,16,16,18,146,196,50
Ice Hockey,1920,M,60,8,11,8,33,60,27
Ice Hockey,1924,M,82,10,9,9,54,82,28
Ice Hockey,1928,M,124,12,12,12,88,124,36
Ice Hockey,1932,M,48,10,14,14,10,48,38
Ice Hockey,1936,M,173,11,13,12,137,173,36
Ice Hockey,1948,M,139,17,17,12,93,139,46
Ice Hockey,1952,M,147,17,15,16,99,147,48
Ice Hockey,1956,M,169,17,17,17,118,169,51
Ice Hockey,1960,M,152,17,17,17,101,152,51
Ice Hockey,1964,M,270,17,17,17,219,270,51
Ice Hockey,1968,M,250,18,18,18,196,250,54
Ice Hockey,1972,M,208,18,17,20,153,208,55
Ice Hockey,1976,M,217,18,19,18,162,217,55
Ice Hockey,1980,M,239,20,20,19,180,239,59
Ice Hockey,1984,M,239,20,20,20,179,239,60
Ice Hockey,1988,M,265,22,22,21,200,265,65
Ice Hockey,1992,M,267,22,22,22,201,267,66
Ice Hockey,1994,M,268,22,21,22,203,268,65
Ice Hockey,1998,F,120,20,20,20,60,120,60
Ice Hockey,1998,M,306,22,22,21,241,306,65
Ice Hockey,2002,F,156,20,20,20,96,156,60
Ice Hockey,2002,M,312,21,23,22,246,312,66
Ice Hockey,2006,F,160,20,20,20,100,160,60
Ice Hockey,2006,M,282,24,23,24,211,282,71
Ice Hockey,2010,F,160,19,21,21,99,160,61
Ice Hockey,2010,M,260,22,22,22,194,260,66
Ice Hockey,2014,F,158,19,20,20,99,158,59
Ice Hockey,2014,M,285,24,23,24,214,285,71
Jeu De Paume,1908,M,11,1,1,1,8,11,3
Judo,1964,M,72,8,4,4,56,72,16
Judo,1972,M,148,12,5,6,143,166,23
Judo,1976,M,135,12,6,6,129,153,24
Judo,1980,M,182,16,8,8,161,193,32
Judo,1984,M,212,16,8,8,180,212,32
Judo,1988,M,243,14,7,7,215,243,28
Judo,1992,F,163,14,7,7,135,163,28
Judo,1992,M,269,14,7,7,241,269,28
Judo,1996,F,151,14,7,7,123,151,28
Judo,1996,M,236,14,7,7,208,236,28
Judo,2000,F,161,14,7,7,133,161,28
Judo,2000,M,237,14,7,7,209,237,28
Judo,2004,F,157,14,7,7,129,157,28
Judo,2004,M,227,14,7,7,199,227,28
Judo,2008,F,156,14,7,7,128,156,28
Judo,2008,M,230,14,7,7,202,230,28
Judo,2012,F,153,14,7,7,125,153,28
Judo,2012,M,231,14,7,7,203,231,28
Judo,2016,F,152,14,7,7,124,152,28
Judo,2016,M,237,14,7,7,209,237,28
Lacrosse,1904,M,36,12,12,12,0,36,36
Lacrosse,1908,M,24,0,12,12,0,24,24
Luge,1964,F,17,1,1,1,14,17,3
Luge,1964,M,51,3,3,3,59,68,9
Luge,1968,F,26,1,1,1,23,26,3
Luge,1968,M,59,3,3,3,71,80,9
Luge,1972,F,22,1,1,1,19,22,3
Luge,1972,M,61,3,1,5,76,85,9
Luge,1976,F,26,1,1,1,23,26,3
Luge,1976,M,68,3,3,3,84,93,9
Luge,1980,F,26,1,1,1,23,26,3
Luge,1980,M,54,3,3,3,59,68,9
Luge,1984,F,27,1,1,1,24,27,3
Luge,1984,M,54,3,3,3,53,62,9
Luge,1988,F,24,1,1,1,21,24,3
Luge,1988,M,66,3,3,3,65,74,9
Luge,1992,F,24,1,1,1,21,24,3
Luge,1992,M,65,3,3,3,65,74,9
Luge,1994,F,25,1,1,1,22,25,3
Luge,1994,M,67,3,3,3,64,73,9
Luge,1998,F,29,1,1,1,26,29,3
Luge,1998,M,64,3,3,3,59,68,9
Luge,2002,F,29,1,1,1,26,29,3
Luge,2002,M,81,3,3,3,79,88,9
Luge,2006,F,30,1,1,1,27,30,3
Luge,2006,M,78,3,3,3,69,78,9
Luge,2010,F,29,1,1,1,26,29,3
Luge,2010,M,78,3,3,3,69,78,9
Luge,2014,F,31,2,2,2,37,43,6
Luge,2014,M,77,6,6,6,95,113,18
Military Ski Patrol,1924,M,24,4,4,4,12,24,12
Modern Pentathlon,1912,M,32,1,1,1,29,32,3
Modern Pentathlon,1920,M,23,1,1,1,20,23,3
Modern Pentathlon,1924,M,38,1,1,1,35,38,3
Modern Pentathlon,1928,M,37,1,1,1,34,37,3
Modern Pentathlon,1932,M,25,1,1,1,22,25,3
Modern Pentathlon,1936,M,42,1,1,1,39,42,3
Modern Pentathlon,1948,M,45,1,1,1,42,45,3
Modern Pentathlon,1952,M,51,4,4,4,87,99,12
Modern Pentathlon,1956,M,40,4,4,4,64,76,12
Modern Pentathlon,1960,M,60,4,4,4,99,111,12
Modern Pentathlon,1964,M,37,4,4,4,58,70,12
Modern Pentathlon,1968,M,48,4,4,4,81,93,12
Modern Pentathlon,1972,M,59,4,4,4,104,116,12
Modern Pentathlon,1976,M,47,4,4,4,77,89,12
Modern Pentathlon,1980,M,43,4,4,4,67,79,12
Modern Pentathlon,1984,M,52,4,4,4,91,103,12
Modern Pentathlon,1988,M,65,4,4,4,110,122,12
Modern Pentathlon,1992,M,66,4,4,4,105,117,12
Modern Pentathlon,1996,M,32,1,1,1,29,32,3
Modern Pentathlon,2000,F,24,1,1,1,21,24,3
Modern Pentathlon,2000,M,24,1,1,1,21,24,3
Modern Pentathlon,2004,F,32,1,1,1,29,32,3
Modern Pentathlon,2004,M,32,1,1,1,29,32,3
Modern Pentathlon,2008,F,36,1,1,1,33,36,3
Modern Pentathlon,2008,M,36,1,1,1,33,36,3
Modern Pentathlon,2012,F,36,1,1,1,33,36,3
Modern Pentathlon,2012,M,36,1,1,1,33,36,3
Modern Pentathlon,2016,F,36,1,1,1,33,36,3
Modern Pentathlon,2016,M,36,1,1,1,33,36,3
Motorboating,1908,F,1,0,0,0,1,1,0
Motorboating,1908,M,13,0,0,7,9,16,7
Nordic Combined,1924,M,30,1,1,1,27,30,3
Nordic Combined,1928,M,35,1,1,1,32,35,3
Nordic Combined,1932,M,33,1,1,1,30,33,3
Nordic Combined,1936,M,51,1,1,1,48,51,3
Nordic Combined,1948,M,39,1,1,1,36,39,3
Nordic Combined,1952,M,25,1,1,1,22,25,3
Nordic Combined,1956,M,36,1,1,1,33,36,3
Nordic Combined,1960,M,33,1,1,1,30,33,3
Nordic Combined,1964,M,32,1,1,1,29,32,3
Nordic Combined,1968,M,41,1,1,1,38,41,3
Nordic Combined,1972,M,40,1,1,1,37,40,3
Nordic Combined,1976,M,34,1,1,1,31,34,3
Nordic Combined,1980,M,31,1,1,1,28,31,3
Nordic Combined,1984,M,28,1,1,1,25,28,3
Nordic Combined,1988,M,44,4,4,4,63,75,12
Nordic Combined,1992,M,46,4,4,4,66,78,12
Nordic Combined,1994,M,53,4,4,4,77,89,12
Nordic Combined,1998,M,53,5,5,5,77,92,15
Nordic Combined,2002,M,54,6,6,6,107,125,18
Nordic Combined,2006,M,59,6,6,6,120,138,18
Nordic Combined,2010,M,52,6,6,6,113,131,18
Nordic Combined,2014,M,54,6,6,6,110,128,18
Polo,1900,M,20,8,4,5,4,21,17
Polo,1908,M,12,0,8,4,0,12,12
Polo,1920,M,17,4,5,4,4,17,13
Polo,1924,M,24,4,4,5,11,24,13
Polo,1936,M,21,4,4,4,9,21,12
Racquets,1908,M,7,4,3,3,2,12,10
Rhythmic Gymnastics,1984,F,33,1,1,1,30,33,3
Rhythmic Gymnastics,1988,F,39,1,1,1,36,39,3
Rhythmic Gymnastics,1992,F,42,1,1,1,39,42,3
Rhythmic Gymnastics,1996,F,90,7,7,7,69,90,21
Rhythmic Gymnastics,2000,F,84,7,7,7,63,84,21
Rhythmic Gymnastics,2004,F,84,7,7,7,63,84,21
Rhythmic Gymnastics,2008,F,95,7,7,7,74,95,21
Rhythmic Gymnastics,2012,F,95,7,7,7,74,95,21
Rhythmic Gymnastics,2016,F,96,6,6,6,78,96,18
Roque,1904,M,4,1,1,1,1,4,3
Rowing,1900,M,99,24,21,23,65,133,68
Rowing,1904,M,44,9,18,18,1,46,45
Rowing,1906,M,167,35,36,36,93,200,107
Rowing,1908,M,81,32,16,16,23,87,64
Rowing,1912,M,184,26,20,20,131,197,66
Rowing,1920,M,136,20,20,20,84,144,60
Rowing,1924,M,181,24,26,27,119,196,77
Rowing,1928,M,244,26,26,26,169,247,78
Rowing,1932,M,152,26,26,26,88,166,78
Rowing,1936,M,314,26,26,26,270,348,78
Rowing,1948,M,310,26,26,26,240,318,78
Rowing,1952,M,404,26,26,26,328,406,78
Rowing,1956,M,242,26,26,26,180,258,78
Rowing,1960,M,410,26,26,26,353,431,78
Rowing,1964,M,370,27,26,26,299,378,79
Rowing,1968,M,353,26,26,27,279,358,79
Rowing,1972,M,440,26,26,26,364,442,78
Rowing,1976,F,205,24,24,24,138,210,72
Rowing,1976,M,388,30,30,31,297,388,91
Rowing,1980,F,157,25,25,25,84,159,75
Rowing,1980,M,313,30,30,30,239,329,90
Rowing,1984,F,161,24,24,24,107,179,72
Rowing,1984,M,286,30,30,30,196,286,90
Rowing,1988,F,194,26,26,23,140,215,75
Rowing,1988,M,399,30,31,30,318,409,91
Rowing,1992,F,190,22,22,22,145,211,66
Rowing,1992,M,437,30,30,30,360,450,90
Rowing,1996,F,205,20,20,20,156,216,60
Rowing,1996,M,403,28,28,28,321,405,84
Rowing,2000,F,184,20,20,20,134,194,60
Rowing,2000,M,363,28,28,28,283,367,84
Rowing,2004,F,193,20,20,20,135,195,60
Rowing,2004,M,364,28,28,28,280,364,84
Rowing,2008,F,191,20,20,20,138,198,60
Rowing,2008,M,364,28,28,28,281,365,84
Rowing,2012,F,196,20,20,20,137,197,60
Rowing,2012,M,353,28,28,28,269,353,84
Rowing,2016,F,214,20,20,20,158,218,60
Rowing,2016,M,331,28,28,28,247,331,84
Rugby,1900,M,47,0,30,17,0,47,47
Rugby,1908,M,30,0,15,15,0,30,30
Rugby,1920,M,31,0,15,16,0,31,31
Rugby,1924,M,54,16,19,19,0,54,54
Rugby Sevens,2016,F,148,12,12,12,112,148,36
Rugby Sevens,2016,M,151,13,12,13,113,151,38
Sailing,1900,F,1,0,1,1,1,3,2
Sailing,1900,M,95,32,43,28,174,277,103
Sailing,1908,F,1,0,0,1,0,1,1
Sailing,1908,M,63,8,18,21,16,63,47
Sailing,1912,M,109,22,25,26,36,109,73
Sailing,1920,F,1,0,0,1,0,1,1
Sailing,1920,M,100,8,24,63,5,100,95
Sailing,1924,F,1,0,0,0,1,1,0
Sailing,1924,M,64,9,9,9,41,68,27
Sailing,1928,F,2,0,0,1,1,2,1
Sailing,1928,M,125,12,11,10,93,126,33
Sailing,1932,M,54,7,14,19,17,57,40
Sailing,1936,F,3,1,0,0,2,3,1
Sailing,1936,M,169,13,14,14,128,169,41
Sailing,1948,M,186,13,13,13,147,186,39
Sailing,1952,F,3,0,1,1,1,3,2
Sailing,1952,M,224,14,13,15,182,224,42
Sailing,1956,M,149,11,12,11,115,149,34
Sailing,1960,F,1,0,0,0,1,1,0
Sailing,1960,M,286,12,11,11,252,286,34
Sailing,1964,F,1,0,0,0,1,1,0
Sailing,1964,M,224,11,11,11,191,224,33
Sailing,1968,M,251,11,11,11,219,252,33
Sailing,1972,M,323,13,14,13,283,323,40
Sailing,1976,F,1,0,0,0,1,1,0
Sailing,1976,M,256,12,12,12,220,256,36
Sailing,1980,F,1,0,0,0,1,1,0
Sailing,1980,M,155,12,12,12,119,155,36
Sailing,1984,F,2,0,0,0,2,2,0
Sailing,1984,M,297,13,13,13,258,297,39
Sailing,1988,F,44,2,2,2,38,44,6
Sailing,1988,M,329,13,13,13,290,329,39
Sailing,1992,F,84,4,4,4,72,84,12
Sailing,1992,M,355,13,13,13,316,355,39
Sailing,1996,F,99,4,4,4,87,99,12
Sailing,1996,M,355,12,12,12,319,355,36
Sailing,2000,F,95,4,4,4,83,95,12
Sailing,2000,M,304,14,14,14,262,304,42
Sailing,2004,F,139,7,7,7,118,139,21
Sailing,2004,M,260,11,11,11,228,261,33
Sailing,2008,F,136,7,7,7,115,136,21
Sailing,2008,M,258,11,11,11,225,258,33
Sailing,2012,F,141,7,7,7,120,141,21
Sailing,2012,M,236,9,9,9,209,236,27
Sailing,2016,F,156,7,7,7,135,156,21
Sailing,2016,M,214,8,8,8,190,214,24
Shooting,1896,M,38,5,5,5,50,65,15
Shooting,1900,M,72,16,17,16,172,221,49
Shooting,1906,M,68,16,16,16,272,320,48
Shooting,1908,M,215,36,39,39,330,444,114
Shooting,1912,M,284,48,48,48,650,794,144
Shooting,1920,M,236,66,66,66,640,838,198
Shooting,1924,M,258,25,25,25,433,508,75
Shooting,1932,M,41,2,2,2,38,44,6
Shooting,1936,M,141,3,3,3,153,162,9
Shooting,1948,M,188,4,4,4,204,216,12
Shooting,1952,M,218,7,7,7,268,289,21
Shooting,1956,M,156,7,7,7,198,219,21
Shooting,1960,M,312,6,6,6,370,388,18
Shooting,1964,M,262,6,6,6,294,312,18
Shooting,1968,F,3,0,0,0,3,3,0
Shooting,1968,M,347,7,7,7,384,405,21
Shooting,1972,F,4,0,0,0,4,4,0
Shooting,1972,M,393,8,8,8,444,468,24
Shooting,1976,F,8,0,1,0,8,9,1
Shooting,1976,M,335,7,6,7,339,359,20
Shooting,1980,F,5,0,0,0,6,6,0
Shooting,1980,M,234,7,7,7,240,261,21
Shooting,1984,F,77,3,3,3,83,92,9
Shooting,1984,M,383,8,8,8,423,447,24
Shooting,1988,F,110,4,4,4,151,163,12
Shooting,1988,M,285,9,9,9,354,381,27
Shooting,1992,F,117,4,4,5,166,179,13
Shooting,1992,M,289,9,9,8,358,384,26
Shooting,1996,F,125,5,5,5,171,186,15
Shooting,1996,M,293,10,10,10,395,425,30
Shooting,2000,F,145,7,7,7,203,224,21
Shooting,2000,M,262,10,10,10,344,374,30
Shooting,2004,F,137,7,7,7,178,199,21
Shooting,2004,M,252,10,10,10,328,358,30
Shooting,2008,F,145,6,6,6,196,214,18
Shooting,2008,M,244,9,9,9,335,362,27
Shooting,2012,F,158,6,6,6,209,227,18
Shooting,2012,M,231,9,9,9,304,331,27
Shooting,2016,F,149,6,6,6,192,210,18
Shooting,2016,M,239,9,9,9,314,341,27
Short Track Speed Skating,1992,F,42,5,5,5,44,59,15
Short Track Speed Skating,1992,M,44,5,6,5,49,65,16
Short Track Speed Skating,1994,F,41,6,6,6,75,93,18
Short Track Speed Skating,1994,M,46,6,6,6,77,95,18
Short Track Speed Skating,1998,F,45,6,6,6,78,96,18
Short Track Speed Skating,1998,M,49,6,6,6,76,94,18
Short Track Speed Skating,2002,F,51,8,7,7,98,120,22
Short Track Speed Skating,2002,M,60,8,8,8,107,131,24
Short Track Speed Skating,2006,F,52,7,8,8,100,123,23
Short Track Speed Skating,2006,M,54,7,8,8,93,116,23
Short Track Speed Skating,2010,F,55,8,7,7,114,136,22
Short Track Speed Skating,2010,M,54,8,8,8,113,137,24
Short Track Speed Skating,2014,F,50,7,7,8,112,134,22
Short Track Speed Skating,2014,M,56,7,7,7,114,135,21
Skeleton,1928,M,10,1,1,1,7,10,3
Skeleton,1948,M,15,1,1,1,12,15,3
Skeleton,2002,F,13,1,1,1,10,13,3
Skeleton,2002,M,26,1,1,1,23,26,3
Skeleton,2006,F,15,1,1,1,12,15,3
Skeleton,2006,M,27,1,1,1,24,27,3
Skeleton,2010,F,19,1,1,1,16,19,3
Skeleton,2010,M,28,1,1,1,25,28,3
Skeleton,2014,F,19,1,1,1,16,19,3
Skeleton,2014,M,27,1,1,1,24,27,3
Ski Jumping,1924,M,27,1,1,1,24,27,3
Ski Jumping,1928,M,38,1,1,1,35,38,3
Ski Jumping,1932,M,34,1,1,1,31,34,3
Ski Jumping,1936,M,48,1,1,1,45,48,3
Ski Jumping,1948,M,49,1,1,1,46,49,3
Ski Jumping,1952,M,44,1,1,1,41,44,3
Ski Jumping,1956,M,51,1,1,1,48,51,3
Ski Jumping,1960,M,45,1,1,1,42,45,3
Ski Jumping,1964,M,57,2,2,2,99,105,6
Ski Jumping,1968,M,66,2,2,2,110,116,6
Ski Jumping,1972,M,62,2,2,2,102,108,6
Ski Jumping,1976,M,62,2,2,2,103,109,6
Ski Jumping,1980,M,55,1,3,2,92,98,6
Ski Jumping,1984,M,65,2,2,2,105,111,6
Ski Jumping,1988,M,65,6,6,6,139,157,18
Ski Jumping,1992,M,63,6,6,6,153,171,18
Ski Jumping,1994,M,68,6,6,6,146,164,18
Ski Jumping,1998,M,68,6,6,6,158,176,18
Ski Jumping,2002,M,73,6,6,6,160,178,18
Ski Jumping,2006,M,79,6,6,6,184,202,18
Ski Jumping,2010,M,68,6,6,6,152,170,18
Ski Jumping,2014,F,30,1,1,1,27,30,3
Ski Jumping,2014,M,66,6,6,6,152,170,18
Snowboarding,1998,F,56,2,2,2,51,57,6
Snowboarding,1998,M,69,2,2,2,64,70,6
Snowboarding,2002,F,53,2,2,2,47,53,6
Snowboarding,2002,M,65,2,2,2,59,65,6
Snowboarding,2006,F,79,3,3,3,78,87,9
Snowboarding,2006,M,108,3,3,3,102,111,9
Snowboarding,2010,F,81,3,3,3,72,81,9
Snowboarding,2010,M,104,3,3,3,95,104,9
Snowboarding,2014,F,103,5,5,5,123,138,15
Snowboarding,2014,M,134,5,5,5,155,170,15
Softball,1996,F,120,15,15,15,75,120,45
Softball,2000,F,120,15,15,15,75,120,45
Softball,2004,F,118,14,15,15,74,118,44
Softball,2008,F,120,15,15,15,75,120,45
Speed Skating,1924,M,31,6,5,5,94,110,16
Speed Skating,1928,M,40,5,2,4,95,106,11
Speed Skating,1932,M,31,4,4,4,58,70,12
Speed Skating,1936,M,52,4,4,4,128,140,12
Speed Skating,1948,M,68,3,6,4,141,154,13
Speed Skating,1952,M,67,5,4,4,132,145,13
Speed Skating,1956,M,83,4,3,5,167,179,12
Speed Skating,1960,F,30,4,4,4,76,88,12
Speed Skating,1960,M,73,4,3,5,149,161,12
Speed Skating,1964,F,43,3,5,4,102,114,12
Speed Skating,1964,M,91,3,6,4,160,173,13
Speed Skating,1968,F,43,3,6,4,100,113,13
Speed Skating,1968,M,86,2,6,4,155,167,12
Speed Skating,1972,F,51,4,4,4,103,115,12
Speed Skating,1972,M,67,4,4,4,117,129,12
Speed Skating,1976,F,45,4,4,4,94,106,12
Speed Skating,1976,M,66,5,5,5,126,141,15
Speed Skating,1980,F,54,4,4,4,116,128,12
Speed Skating,1980,M,74,6,5,5,152,168,16
Speed Skating,1984,F,52,4,4,4,117,129,12
Speed Skating,1984,M,87,5,5,5,184,199,15
Speed Skating,1988,F,53,5,5,5,124,139,15
Speed Skating,1988,M,88,5,5,5,172,187,15
Speed Skating,1992,F,59,5,5,5,138,153,15
Speed Skating,1992,M,95,5,5,5,186,201,15
Speed Skating,1994,F,61,5,5,5,128,143,15
Speed Skating,1994,M,89,5,5,5,160,175,15
Speed Skating,1998,F,79,5,5,5,143,158,15
Speed Skating,1998,M,92,5,5,5,162,177,15
Speed Skating,2002,F,71,5,5,5,139,154,15
Speed Skating,2002,M,95,5,5,5,163,178,15
Speed Skating,2006,F,77,10,10,10,150,180,30
Speed Skating,2006,M,97,10,10,9,170,199,29
Speed Skating,2010,F,83,8,8,9,155,180,25
Speed Skating,2010,M,94,9,9,8,160,186,26
Speed Skating,2014,F,83,9,9,9,154,181,27
Speed Skating,2014,M,94,8,8,8,163,187,24
Swimming,1896,M,13,2,4,4,8,18,10
Swimming,1900,M,76,10,11,10,100,131,31
Swimming,1904,M,32,13,13,13,25,64,39
Swimming,1906,M,43,7,7,7,57,78,21
Swimming,1908,M,100,9,9,9,123,150,27
Swimming,1912,F,27,5,5,5,28,43,15
Swimming,1912,M,93,10,10,10,128,158,30
Swimming,1920,F,24,6,6,6,29,47,18
Swimming,1920,M,92,10,11,10,131,162,31
Swimming,1924,F,51,8,8,8,59,83,24
Swimming,1924,M,118,11,10,10,149,180,31
Swimming,1928,F,72,8,8,10,82,108,26
Swimming,1928,M,110,9,10,11,140,170,30
Swimming,1932,F,44,8,8,8,53,77,24
Swimming,1932,M,84,9,9,9,91,118,27
Swimming,1936,F,94,9,9,8,109,135,26
Swimming,1936,M,154,9,11,9,200,229,29
Swimming,1948,F,88,8,9,8,120,145,25
Swimming,1948,M,161,9,9,13,222,253,31
Swimming,1952,F,118,8,8,9,157,182,25
Swimming,1952,M,200,9,9,13,268,299,31
Swimming,1956,F,99,9,12,11,123,155,32
Swimming,1956,M,136,10,12,13,166,201,35
Swimming,1960,F,144,13,17,20,199,249,50
Swimming,1960,M,236,18,17,20,326,381,55
Swimming,1964,F,162,15,16,22,222,275,53
Swimming,1964,M,243,21,19,28,393,461,68
Swimming,1968,F,204,20,22,24,469,535,66
Swimming,1968,M,264,28,25,36,607,696,89
Swimming,1972,F,243,23,22,27,501,573,72
Swimming,1972,M,286,28,27,33,596,684,88
Swimming,1976,F,208,21,21,23,440,505,65
Swimming,1976,M,263,21,22,25,503,571,68
Swimming,1980,F,143,21,21,21,262,325,63
Swimming,1980,M,190,21,24,23,368,436,68
Swimming,1984,F,186,20,20,27,389,456,67
Swimming,1984,M,304,28,25,32,678,763,85
Swimming,1988,F,252,26,25,25,572,648,76
Swimming,1988,M,376,31,28,32,851,942,91
Swimming,1992,F,254,24,25,27,569,645,76
Swimming,1992,M,382,30,30,33,853,946,93
Swimming,1996,F,344,27,29,34,699,789,90
Swimming,1996,M,413,29,30,32,729,820,91
Swimming,2000,F,393,30,31,33,651,745,94
Swimming,2000,M,553,26,32,33,890,981,91
Swimming,2004,F,390,29,33,32,635,729,94
Swimming,2004,M,542,30,30,31,790,881,91
Swimming,2008,F,449,31,33,35,722,821,99
Swimming,2008,M,568,32,33,36,817,918,101
Swimming,2012,F,447,30,32,35,673,770,97
Swimming,2012,M,479,30,33,35,661,759,98
Swimming,2016,F,437,30,32,35,663,760,97
Swimming,2016,M,502,27,31,35,709,802,93
Synchronized Swimming,1984,F,50,3,3,3,77,86,9
Synchronized Swimming,1988,F,46,3,3,3,67,76,9
Synchronized Swimming,1992,F,53,3,2,4,80,89,9
Synchronized Swimming,1996,F,72,9,9,10,44,72,28
Synchronized Swimming,2000,F,101,10,11,10,86,117,31
Synchronized Swimming,2004,F,101,11,11,11,84,117,33
Synchronized Swimming,2008,F,102,11,10,11,85,117,32
Synchronized Swimming,2012,F,101,10,11,11,85,117,32
Synchronized Swimming,2016,F,102,10,11,11,86,118,32
Table Tennis,1988,F,48,3,3,3,69,78,9
Table Tennis,1988,M,81,3,3,3,119,128,9
Table Tennis,1992,F,79,6,3,3,112,124,12
Table Tennis,1992,M,80,6,3,3,112,124,12
Table Tennis,1996,F,80,3,3,3,115,124,9
Table Tennis,1996,M,85,3,3,3,117,126,9
Table Tennis,2000,F,83,3,3,3,119,128,9
Table Tennis,2000,M,86,3,3,3,127,136,9
Table Tennis,2004,F,82,3,3,3,116,125,9
Table Tennis,2004,M,86,3,3,3,119,128,9
Table Tennis,2008,F,82,4,1,4,110,119,9
Table Tennis,2008,M,83,4,4,4,108,120,12
Table Tennis,2012,F,85,0,4,4,106,114,8
Table Tennis,2012,M,83,4,4,4,100,112,12
Table Tennis,2016,F,83,4,4,4,101,113,12
Table Tennis,2016,M,84,4,4,4,104,116,12
Taekwondo,2000,F,48,4,4,4,36,48,12
Taekwondo,2000,M,54,4,4,4,42,54,12
Taekwondo,2004,F,60,4,4,4,48,60,12
Taekwondo,2004,M,64,4,4,4,52,64,12
Taekwondo,2008,F,63,8,4,4,47,63,16
Taekwondo,2008,M,63,8,4,4,47,63,16
Taekwondo,2012,F,64,8,4,4,48,64,16
Taekwondo,2012,M,64,8,4,4,48,64,16
Taekwondo,2016,F,64,8,4,4,48,64,16
Taekwondo,2016,M,62,8,4,4,46,62,16
Tennis,1896,M,13,4,3,3,13,23,10
Tennis,1900,F,7,4,2,2,4,12,8
Tennis,1900,M,19,8,4,4,19,35,16
Tennis,1904,M,36,6,3,3,45,57,12
Tennis,1906,F,6,2,2,2,5,11,6
Tennis,1906,M,21,4,4,4,25,37,12
Tennis,1908,F,10,2,2,2,6,12,6
Tennis,1908,M,40,6,6,6,54,72,18
Tennis,1912,F,13,4,4,4,18,30,12
Tennis,1912,M,67,8,8,8,119,143,24
Tennis,1920,F,23,4,4,4,40,52,12
Tennis,1920,M,52,4,4,4,89,101,12
Tennis,1924,F,35,4,4,4,62,74,12
Tennis,1924,M,89,4,4,4,167,179,12
Tennis,1988,F,48,6,3,3,64,76,12
Tennis,1988,M,81,6,3,3,114,126,12
Tennis,1992,F,87,6,3,3,114,126,12
Tennis,1992,M,90,6,3,3,112,124,12
Tennis,1996,F,83,3,3,3,111,120,9
Tennis,1996,M,93,3,3,3,117,126,9
Tennis,2000,F,89,3,3,3,117,126,9
Tennis,2000,M,93,3,3,3,113,122,9
Tennis,2004,F,83,3,3,3,119,128,9
